gene_name	gene_id	total_exonic_length
AIM2	ENSG00000163568.16	1394
AIMP2	ENSG00000106305.10	1198
AIP	ENSG00000110711.11	1236
AIPL1	ENSG00000129221.16	2894
AIRE	ENSG00000160224.17	2690
AJAP1	ENSG00000196581.11	12102
AJUBA	ENSG00000129474.16	4168
AK3	ENSG00000147853.17	4219
AK4	ENSG00000162433.15	6845
AK5	ENSG00000154027.19	3280
AK6	ENSG00000085231.14	1626
AK7	ENSG00000140057.9	3283
AK8	ENSG00000165695.10	1579
AKAP1	ENSG00000121057.13	3909
AKAP10	ENSG00000108599.15	4063
AKAP11	ENSG00000023516.9	9915
AKAP13	ENSG00000170776.22	13327
AKAP14	ENSG00000186471.13	921
AKAP17A	ENSG00000197976.12	3199
AKAP17A	ENSG00000197976.12_PAR_Y	NA
AKAP4	ENSG00000147081.15	2866
AKAP5	ENSG00000179841.8	6487
AKAP6	ENSG00000151320.11	14984
AKAP8	ENSG00000105127.10	3665
AKAP8L	ENSG00000011243.19	2078
AKAP9	ENSG00000127914.19	12476
AKIP1	ENSG00000166452.12	1273
AKIRIN1	ENSG00000174574.16	2688
AKIRIN2	ENSG00000135334.9	1898
AKNAD1	ENSG00000162641.20	3050
AKR1A1	ENSG00000117448.14	1407
AKR1B1	ENSG00000085662.14	1361
AKR1B10	ENSG00000198074.10	1619
AKR1C1	ENSG00000187134.14	6543
AKR1C2	ENSG00000151632.18	3215
AKR1C3	ENSG00000196139.14	1186
AKR1C4	ENSG00000198610.11	1192
AKR1D1	ENSG00000122787.15	2684
AKR1E2	ENSG00000165568.18	1613
AKR7A2	ENSG00000053371.13	1360
AKR7A3	ENSG00000162482.5	1215
AKR7L	ENSG00000211454.16	1313
AKT2	ENSG00000105221.18	5250
ALAD	ENSG00000148218.16	3129
ALAS1	ENSG00000023330.15	2375
ALB	ENSG00000163631.17	2285
ALCAM	ENSG00000170017.12	4701
ALDH16A1	ENSG00000161618.10	3099
ALDH18A1	ENSG00000059573.9	3352
ALDH1A1	ENSG00000165092.13	2096
ALDH1A2	ENSG00000128918.15	3386
ALDH1A3	ENSG00000184254.17	3469
ALDH1B1	ENSG00000137124.8	3028
ALDH1L1	ENSG00000144908.14	3064
ALDH1L2	ENSG00000136010.14	7428
ALDH2	ENSG00000111275.13	9561
ALDH3A1	ENSG00000108602.18	1639
ALDH3A2	ENSG00000072210.19	3703
ALDH3B1	ENSG00000006534.17	2811
ALDH4A1	ENSG00000159423.17	3139
ALDH5A1	ENSG00000112294.14	5131
ALDH6A1	ENSG00000119711.13	5462
ALDH7A1	ENSG00000164904.18	4765
ALDH8A1	ENSG00000118514.14	2534
ALDH9A1	ENSG00000143149.13	2395
ALDOC	ENSG00000109107.14	1608
ALG1	ENSG00000033011.14	3900
ALG10	ENSG00000139133.7	2913
ALG10B	ENSG00000175548.9	10050
ALG11	ENSG00000253710.5	6510
ALG12	ENSG00000182858.14	5330
ALG14	ENSG00000172339.10	9375
ALG2	ENSG00000119523.10	2808
ALG3	ENSG00000214160.10	1552
ALG5	ENSG00000120697.10	1219
ALG8	ENSG00000159063.14	1637
ALG9	ENSG00000086848.15	6158
ALK	ENSG00000171094.18	6240
ALKAL1	ENSG00000196711.9	1140
ALKAL2	ENSG00000189292.16	1184
ALKBH1	ENSG00000100601.10	2597
ALKBH3	ENSG00000166199.13	1544
ALKBH4	ENSG00000160993.4	2092
ALKBH6	ENSG00000239382.11	951
ALKBH7	ENSG00000125652.8	970
ALKBH8	ENSG00000137760.15	4067
ALLC	ENSG00000151360.10	1441
ALMS1	ENSG00000116127.20	12844
ALOX12	ENSG00000108839.12	2392
ALOX15	ENSG00000161905.13	2697
ALOX15B	ENSG00000179593.16	2697
ALOX5	ENSG00000012779.12	2519
ALOX5AP	ENSG00000132965.10	869
ALOXE3	ENSG00000179148.10	3205
ALPG	ENSG00000163286.9	2492
ALPI	ENSG00000163295.5	3241
ALPK2	ENSG00000198796.7	7437
ALPK3	ENSG00000136383.7	10238
ALPL	ENSG00000162551.14	2536
ALPP	ENSG00000163283.7	2754
ALS2	ENSG00000003393.16	6675
ALS2CL	ENSG00000178038.17	4913
ALX1	ENSG00000180318.4	1332
ALYREF	ENSG00000183684.8	1097
AMACR	ENSG00000242110.9	4108
AMBN	ENSG00000178522.15	2005
AMBP	ENSG00000106927.12	1262
AMD1	ENSG00000123505.19	3423
AMDHD1	ENSG00000139344.8	2226
AMDHD2	ENSG00000162066.16	3172
AMELX	ENSG00000125363.14	793
AMER3	ENSG00000178171.11	6216
AMFR	ENSG00000159461.15	3607
AMH	ENSG00000104899.8	1809
AMHR2	ENSG00000135409.11	2001
AMIGO1	ENSG00000181754.7	5130
AMIGO2	ENSG00000139211.7	3224
AMMECR1	ENSG00000101935.13	5350
AMMECR1L	ENSG00000144233.12	4692
AMN	ENSG00000166126.11	1550
AMN1	ENSG00000151743.11	1952
AMOT	ENSG00000126016.17	7613
AMOTL1	ENSG00000166025.18	8980
AMOTL2	ENSG00000114019.15	4868
AMPD1	ENSG00000116748.22	2335
AMPD2	ENSG00000116337.20	4081
AMPD3	ENSG00000133805.16	4189
AMPH	ENSG00000078053.17	3224
AMT	ENSG00000145020.16	1997
AMTN	ENSG00000187689.10	1009
AMY1A	ENSG00000237763.10	1785
AMY1B	ENSG00000174876.17	NA
AMY2A	ENSG00000243480.8	1584
ANAPC1	ENSG00000153107.13	7762
ANAPC10	ENSG00000164162.14	1444
ANAPC11	ENSG00000141552.18	638
ANAPC13	ENSG00000129055.13	1170
ANAPC15	ENSG00000110200.9	801
ANAPC16	ENSG00000166295.9	3231
ANAPC2	ENSG00000176248.9	2655
ANAPC4	ENSG00000053900.11	2635
ANAPC5	ENSG00000089053.13	2574
ANAPC7	ENSG00000196510.14	3023
ANG	ENSG00000214274.10	748
ANGEL1	ENSG00000013523.11	5287
ANGEL2	ENSG00000174606.14	4690
ANGPT1	ENSG00000154188.10	4230
ANGPT2	ENSG00000091879.14	5268
ANGPT4	ENSG00000101280.8	4692
ANGPTL1	ENSG00000116194.13	3543
ANGPTL2	ENSG00000136859.10	3443
ANGPTL3	ENSG00000132855.5	2926
ANGPTL4	ENSG00000167772.12	1872
ANGPTL5	ENSG00000187151.7	2368
ANGPTL6	ENSG00000130812.11	1785
ANGPTL7	ENSG00000171819.5	2224
ANGPTL8	ENSG00000130173.13	872
ANK1	ENSG00000029534.21	8292
ANK2	ENSG00000145362.21	14215
ANK3	ENSG00000151150.22	17019
ANKEF1	ENSG00000132623.16	5429
ANKH	ENSG00000154122.14	8207
ANKHD1	ENSG00000131503.21	8195
ANKIB1	ENSG00000001629.10	6340
ANKK1	ENSG00000170209.5	2553
ANKLE2	ENSG00000176915.15	4590
ANKMY1	ENSG00000144504.16	3405
ANKMY2	ENSG00000106524.9	2489
ANKRA2	ENSG00000164331.10	2161
ANKRD1	ENSG00000148677.7	1790
ANKRD12	ENSG00000101745.17	11284
ANKRD13A	ENSG00000076513.17	4241
ANKRD13C	ENSG00000118454.13	5658
ANKRD13D	ENSG00000172932.16	2128
ANKRD18A	ENSG00000180071.21	3971
ANKRD2	ENSG00000165887.12	1171
ANKRD20A1	ENSG00000260691.8	3895
ANKRD22	ENSG00000152766.6	3858
ANKRD23	ENSG00000163126.15	2584
ANKRD27	ENSG00000105186.16	4432
ANKRD29	ENSG00000154065.17	3387
ANKRD34B	ENSG00000189127.8	3730
ANKRD37	ENSG00000186352.9	784
ANKRD39	ENSG00000213337.9	892
ANKRD40	ENSG00000154945.7	4166
ANKRD42	ENSG00000137494.14	3310
ANKRD45	ENSG00000183831.7	2660
ANKRD46	ENSG00000186106.11	2649
ANKRD49	ENSG00000168876.9	1908
ANKRD52	ENSG00000139645.11	8681
ANKRD54	ENSG00000100124.15	2087
ANKRD6	ENSG00000135299.17	5368
ANKRD7	ENSG00000106013.15	1313
ANKRD9	ENSG00000156381.9	6705
ANKS1A	ENSG00000064999.16	6350
ANKS4B	ENSG00000175311.7	4323
ANKS6	ENSG00000165138.18	7190
ANKZF1	ENSG00000163516.14	2540
ANLN	ENSG00000011426.11	4731
ANO1	ENSG00000131620.18	4777
ANO10	ENSG00000160746.13	3155
ANO3	ENSG00000134343.14	5937
ANO5	ENSG00000171714.13	6742
ANO6	ENSG00000177119.17	5998
ANO8	ENSG00000074855.11	4178
ANO9	ENSG00000185101.13	2867
ANOS1	ENSG00000011201.12	6265
ANP32A	ENSG00000140350.15	2440
ANP32B	ENSG00000136938.9	1483
ANP32E	ENSG00000143401.15	3407
ANPEP	ENSG00000166825.15	3662
ANTKMT	ENSG00000103254.10	870
ANTXR1	ENSG00000169604.21	5858
ANTXR2	ENSG00000163297.18	8419
ANXA1	ENSG00000135046.14	1401
ANXA10	ENSG00000109511.12	1441
ANXA11	ENSG00000122359.18	6734
ANXA13	ENSG00000104537.17	1456
ANXA2	ENSG00000182718.18	1554
ANXA3	ENSG00000138772.13	1432
ANXA4	ENSG00000196975.16	2651
ANXA5	ENSG00000164111.15	1638
ANXA6	ENSG00000197043.15	2889
ANXA7	ENSG00000138279.16	2443
ANXA8	ENSG00000265190.7	2020
ANXA8L1	ENSG00000264230.9	1908
ANXA9	ENSG00000143412.10	1551
AOAH	ENSG00000136250.12	2385
AOC1	ENSG00000002726.21	2609
AOC2	ENSG00000131480.9	2677
AOC3	ENSG00000131471.7	4011
AOPEP	ENSG00000148120.18	3130
AOX1	ENSG00000138356.14	4928
AP1AR	ENSG00000138660.12	5915
AP1B1	ENSG00000100280.17	4165
AP1G1	ENSG00000166747.13	6602
AP1G2	ENSG00000213983.12	2598
AP1M1	ENSG00000072958.9	12859
AP1M2	ENSG00000129354.12	1748
AP1S1	ENSG00000106367.15	1226
AP2A1	ENSG00000196961.13	3357
AP2A2	ENSG00000183020.15	4587
AP2B1	ENSG00000006125.18	5700
AP2S1	ENSG00000042753.12	789
AP3B1	ENSG00000132842.15	3980
AP3B2	ENSG00000103723.17	3754
AP3M1	ENSG00000185009.13	4889
AP3M2	ENSG00000070718.12	3494
AP3S1	ENSG00000177879.17	1276
AP3S2	ENSG00000157823.17	5543
AP4B1	ENSG00000134262.13	3173
AP4E1	ENSG00000081014.11	6743
AP4M1	ENSG00000221838.10	3591
AP4S1	ENSG00000100478.16	4060
AP5B1	ENSG00000254470.3	6980
AP5M1	ENSG00000053770.12	11675
AP5S1	ENSG00000125843.11	5372
APAF1	ENSG00000120868.14	7201
APBA1	ENSG00000107282.9	6597
APBA3	ENSG00000011132.12	2176
APBB2	ENSG00000163697.17	8899
APC2	ENSG00000115266.12	10179
APCDD1	ENSG00000154856.13	3803
APCDD1L	ENSG00000198768.11	3887
APCS	ENSG00000132703.4	925
APEH	ENSG00000164062.13	2879
APELA	ENSG00000248329.6	2432
APEX1	ENSG00000100823.12	1453
APEX2	ENSG00000169188.5	3239
APH1A	ENSG00000117362.13	1730
APH1B	ENSG00000138613.14	4138
APIP	ENSG00000149089.13	1246
APLF	ENSG00000169621.10	3823
APLN	ENSG00000171388.12	3224
APLP1	ENSG00000105290.13	2370
APLP2	ENSG00000084234.18	3697
APMAP	ENSG00000101474.12	2202
APOA1	ENSG00000118137.10	899
APOA2	ENSG00000158874.11	474
APOA4	ENSG00000110244.7	1471
APOA5	ENSG00000110243.12	1881
APOB	ENSG00000084674.15	14121
APOBEC1	ENSG00000111701.7	894
APOBEC2	ENSG00000124701.6	1633
APOBEC3A	ENSG00000128383.13	1358
APOBEC3B	ENSG00000179750.16	1590
APOBEC3C	ENSG00000244509.4	2644
APOBEC3F	ENSG00000128394.17	4496
APOBEC3G	ENSG00000239713.9	1564
APOBEC4	ENSG00000173627.8	2782
APOBR	ENSG00000184730.12	3792
APOC1	ENSG00000130208.10	514
APOC3	ENSG00000110245.12	535
APOC4	ENSG00000267467.4	616
APOD	ENSG00000189058.9	862
APOE	ENSG00000130203.10	1166
APOF	ENSG00000175336.10	1750
APOH	ENSG00000091583.11	1174
APOL1	ENSG00000100342.22	2795
APOL2	ENSG00000128335.14	2429
APOL3	ENSG00000128284.20	2041
APOL5	ENSG00000128313.2	1438
APOL6	ENSG00000221963.6	10065
APOLD1	ENSG00000178878.13	4594
APOM	ENSG00000204444.11	761
APOO	ENSG00000184831.14	1122
APOOL	ENSG00000155008.16	6480
APP	ENSG00000142192.21	3583
APPBP2	ENSG00000062725.10	6492
APPL1	ENSG00000157500.12	6069
APPL2	ENSG00000136044.12	3171
APRT	ENSG00000198931.11	931
APTX	ENSG00000137074.20	1977
AQP1	ENSG00000240583.14	2754
AQP10	ENSG00000143595.13	1814
AQP11	ENSG00000178301.4	1835
AQP12A	ENSG00000184945.15	1063
AQP12B	ENSG00000185176.13	1099
AQP2	ENSG00000167580.8	4180
AQP3	ENSG00000165272.16	1825
AQP4	ENSG00000171885.18	5158
AQP5	ENSG00000161798.7	1449
AQP6	ENSG00000086159.13	2544
AQP7	ENSG00000165269.13	3064
AQP8	ENSG00000103375.11	1325
AQP9	ENSG00000103569.10	2849
AQR	ENSG00000021776.11	9597
AR	ENSG00000169083.18	10667
ARAF	ENSG00000078061.14	2378
ARAP2	ENSG00000047365.13	7513
ARAP3	ENSG00000120318.16	5258
ARC	ENSG00000198576.4	2950
ARCN1	ENSG00000095139.15	3994
AREG	ENSG00000109321.11	1234
AREL1	ENSG00000119682.18	5417
